nepal_fy,period_start,period_end,note
2014/15,2014-07-16,2015-07-15,approx; Nepal FY = 1 Shrawan to end Ashadh (Bikram Sambat), mid-July to mid-July
2015/16,2015-07-16,2016-07-15,approx
2016/17,2016-07-16,2017-07-15,approx
2017/18,2017-07-16,2018-07-15,approx
2018/19,2018-07-16,2019-07-15,approx
2019/20,2019-07-16,2020-07-15,approx
2020/21,2020-07-16,2021-07-15,approx
2021/22,2021-07-16,2022-07-15,approx
2022/23,2022-07-16,2023-07-15,approx
2023/24,2023-07-16,2024-07-15,approx
2024/25,2024-07-16,2025-07-15,approx
