obs_id,side,source,source_record_id,donor_name,donor_dac_code,donor_iati_id,recipient,sector,sector_raw,flow_stage,instrument,amount_usd,amount_usd_constant,price_base_year,amount_original,currency_original,price_base,year,fiscal_basis,period_start,period_end,status,confidence,dataset_version,dedup_key,is_multilateral_outflow,counts_in_headline,source_url,retrieved_at,notes
2a33402bc05825f7,donor,aiddata_gcdf,GCDF3|94569,China,,,NPL,,EDUCATION,commitment,grant,,,,,,,2021,calendar,,,MISSING,med,2026-06-03.1,GCDF3|94569,False,False,https://www.aiddata.org/data/aiddatas-global-chinese-development-finance-dataset-version-3-0,2026-06-03T16:24:38Z,project_status=Completion; flow_class=ODA-like; flow_type_raw='Grant'; coverage_end=2021; title=Chinese Embassy donates internet equipment to four schools in Nepal in November 2021
d11b9f5ee8bfff15,donor,aiddata_gcdf,GCDF3|94570,China,,,NPL,,HEALTH,commitment,grant,14400000.0,14400000.0,,14400000.0,USD,current,2021,calendar,,,REPORTED,med,2026-06-03.1,GCDF3|94570,False,False,https://www.aiddata.org/data/aiddatas-global-chinese-development-finance-dataset-version-3-0,2026-06-03T16:24:38Z,"project_status=Completion; flow_class=ODA-like; flow_type_raw='Grant'; coverage_end=2021; title=Chinese Government donates 800,000 Sinopharm Covid-19 vaccine doses worth $14.4 million in March 2021"
ba2577ac078c6632,donor,aiddata_gcdf,GCDF3|94572,China,,,NPL,,HEALTH,commitment,grant,474418.604651162,474418.604651162,,3060000.0,CNY,current,2021,calendar,,,REPORTED,med,2026-06-03.1,GCDF3|94572,False,False,https://www.aiddata.org/data/aiddatas-global-chinese-development-finance-dataset-version-3-0,2026-06-03T16:24:38Z,project_status=Completion; flow_class=ODA-like; flow_type_raw='Grant'; coverage_end=2021; title=China’s Sichuan Province donates COVID-19 supplies worth 3.06 million RMB to Nepal in May 2021
90b56ef29df33300,donor,aiddata_gcdf,GCDF3|94577,China,,,NPL,,HEALTH,commitment,grant,,,,,,,2021,calendar,,,MISSING,med,2026-06-03.1,GCDF3|94577,False,False,https://www.aiddata.org/data/aiddatas-global-chinese-development-finance-dataset-version-3-0,2026-06-03T16:24:38Z,project_status=Completion; flow_class=ODA-like; flow_type_raw='Grant'; coverage_end=2021; title=Government of the Tibet Autonomous Region of China donates COVID-19 equipment to the Consulate General of Nepal in May 2
cd010d934ecb8ff6,donor,aiddata_gcdf,GCDF3|94579,China,,,NPL,,HEALTH,commitment,grant,266447.4,266447.4,,266447.4,USD,current,2021,calendar,,,REPORTED,med,2026-06-03.1,GCDF3|94579,False,False,https://www.aiddata.org/data/aiddatas-global-chinese-development-finance-dataset-version-3-0,2026-06-03T16:24:38Z,"project_status=Completion; flow_class=ODA-like; flow_type_raw='Grant'; coverage_end=2021; title=China provides 3,500 oxygen cylinders and 10 ventilators to Nepal for COVID-19 relief in May 2021"
1f3a5d41bedf236b,donor,aiddata_gcdf,GCDF3|94580,China,,,NPL,,HEALTH,commitment,grant,775193.798449612,775193.798449612,,5000000.0,CNY,current,2021,calendar,,,REPORTED,med,2026-06-03.1,GCDF3|94580,False,False,https://www.aiddata.org/data/aiddatas-global-chinese-development-finance-dataset-version-3-0,2026-06-03T16:24:38Z,project_status=Completion; flow_class=ODA-like; flow_type_raw='Grant'; coverage_end=2021; title=Chinese Government donates COVID-19 equipment worth 5 million RMB to Nepal for COVID-19 relief in June 2021
116244741cd2904b,donor,aiddata_gcdf,GCDF3|94642,China,,,NPL,,HEALTH,commitment,grant,3600000.0,3600000.0,,3600000.0,USD,current,2021,calendar,,,REPORTED,med,2026-06-03.1,GCDF3|94642,False,False,https://www.aiddata.org/data/aiddatas-global-chinese-development-finance-dataset-version-3-0,2026-06-03T16:24:38Z,"project_status=Completion; flow_class=ODA-like; flow_type_raw='Grant'; coverage_end=2021; title=Tibet Autonomous Regional Government donates 200,000 Sinopharm Covid-19 vaccine doses worth $3.6 million in June 2021"
0f99717cb1685861,donor,aiddata_gcdf,GCDF3|94643,China,,,NPL,,HEALTH,commitment,grant,,,,,,,2021,calendar,,,MISSING,med,2026-06-03.1,GCDF3|94643,False,False,https://www.aiddata.org/data/aiddatas-global-chinese-development-finance-dataset-version-3-0,2026-06-03T16:24:38Z,project_status=Completion; flow_class=ODA-like; flow_type_raw='Grant'; coverage_end=2021; title=Tibet Autonomous Region of China donates COVID-19 supplies to Nepal in May 2021
fea99eda595ff8ad,donor,aiddata_gcdf,GCDF3|94644,China,,,NPL,,HEALTH,commitment,grant,,,,,,,2021,calendar,,,MISSING,med,2026-06-03.1,GCDF3|94644,False,False,https://www.aiddata.org/data/aiddatas-global-chinese-development-finance-dataset-version-3-0,2026-06-03T16:24:38Z,project_status=Completion; flow_class=ODA-like; flow_type_raw='Grant'; coverage_end=2021; title=China’s MoFA Department of Boundary and Ocean Affairs donates COVID-19 equipment to Nepal in June 2021
fad978956e7de15c,donor,aiddata_gcdf,GCDF3|94680,China,,,NPL,,OTHER MULTISECTOR,commitment,grant,1398.6,1398.6,,1398.6,USD,current,2021,calendar,,,REPORTED,med,2026-06-03.1,GCDF3|94680,False,False,https://www.aiddata.org/data/aiddatas-global-chinese-development-finance-dataset-version-3-0,2026-06-03T16:24:38Z,"project_status=Completion; flow_class=ODA-like; flow_type_raw='Grant'; coverage_end=2021; title=China Railway 14th Bureau Group Co., Ltd. donates stationary and masks to the Moonlight Children's Home in Nepal in Marc"
