obs_id,side,source,source_record_id,donor_name,donor_dac_code,donor_iati_id,recipient,sector,sector_raw,flow_stage,instrument,amount_usd,amount_usd_constant,price_base_year,amount_original,currency_original,price_base,year,fiscal_basis,period_start,period_end,status,confidence,dataset_version,dedup_key,is_multilateral_outflow,counts_in_headline,source_url,retrieved_at,notes
2acc3d7b97a67e01,donor,oecd_dac2a,DAC2A|9PRIV1601|201|2019,Gates Foundation,9PRIV1601,,NPL,,,disbursement,grant,5098563.0,6150294.0,2024,5098563.0,USD,current,2019,calendar,,,REPORTED,high,2026-06-03.1,DAC2A|9PRIV1601|201|2019,False,False,"https://sdmx.oecd.org/public/rest/data/OECD.DCD.FSD,DSD_DAC2@DF_DAC2A,/.NPL...?startPeriod=2015&endPeriod=2024&dimensionAtObservation=AllDimensions",2026-06-03T16:15:28Z,"measure 201 [instrument detail, not summed]"
7f5ef792413f0541,donor,oecd_dac2a,DAC2A|9PRIV1601|201|2020,Gates Foundation,9PRIV1601,,NPL,,,disbursement,grant,4916356.0,5851810.0,2024,4916356.0,USD,current,2020,calendar,,,REPORTED,high,2026-06-03.1,DAC2A|9PRIV1601|201|2020,False,False,"https://sdmx.oecd.org/public/rest/data/OECD.DCD.FSD,DSD_DAC2@DF_DAC2A,/.NPL...?startPeriod=2015&endPeriod=2024&dimensionAtObservation=AllDimensions",2026-06-03T16:15:28Z,"measure 201 [instrument detail, not summed]"
5ff33719ded98b2b,donor,oecd_dac2a,DAC2A|9PRIV1601|201|2022,Gates Foundation,9PRIV1601,,NPL,,,disbursement,grant,7342824.0,7803545.0,2024,7342824.0,USD,current,2022,calendar,,,REPORTED,high,2026-06-03.1,DAC2A|9PRIV1601|201|2022,False,False,"https://sdmx.oecd.org/public/rest/data/OECD.DCD.FSD,DSD_DAC2@DF_DAC2A,/.NPL...?startPeriod=2015&endPeriod=2024&dimensionAtObservation=AllDimensions",2026-06-03T16:15:28Z,"measure 201 [instrument detail, not summed]"
7ff3e0b162bb7023,donor,oecd_dac2a,DAC2A|9PRIV1601|201|2021,Gates Foundation,9PRIV1601,,NPL,,,disbursement,grant,4922960.0,5603963.0,2024,4922960.0,USD,current,2021,calendar,,,REPORTED,high,2026-06-03.1,DAC2A|9PRIV1601|201|2021,False,False,"https://sdmx.oecd.org/public/rest/data/OECD.DCD.FSD,DSD_DAC2@DF_DAC2A,/.NPL...?startPeriod=2015&endPeriod=2024&dimensionAtObservation=AllDimensions",2026-06-03T16:15:28Z,"measure 201 [instrument detail, not summed]"
58b30a06b24f1aba,donor,oecd_dac2a,DAC2A|9PRIV1601|201|2017,Gates Foundation,9PRIV1601,,NPL,,,disbursement,grant,3189649.0,4000712.0,2024,3189649.0,USD,current,2017,calendar,,,REPORTED,high,2026-06-03.1,DAC2A|9PRIV1601|201|2017,False,False,"https://sdmx.oecd.org/public/rest/data/OECD.DCD.FSD,DSD_DAC2@DF_DAC2A,/.NPL...?startPeriod=2015&endPeriod=2024&dimensionAtObservation=AllDimensions",2026-06-03T16:15:28Z,"measure 201 [instrument detail, not summed]"
e49e71494cbb4d38,donor,oecd_dac2a,DAC2A|9PRIV1601|201|2024,Gates Foundation,9PRIV1601,,NPL,,,disbursement,grant,5310450.0,5310450.0,2024,5310450.0,USD,current,2024,calendar,,,REPORTED,high,2026-06-03.1,DAC2A|9PRIV1601|201|2024,False,False,"https://sdmx.oecd.org/public/rest/data/OECD.DCD.FSD,DSD_DAC2@DF_DAC2A,/.NPL...?startPeriod=2015&endPeriod=2024&dimensionAtObservation=AllDimensions",2026-06-03T16:15:28Z,"measure 201 [instrument detail, not summed]"
d50a97e17718d180,donor,oecd_dac2a,DAC2A|9PRIV1601|201|2023,Gates Foundation,9PRIV1601,,NPL,,,disbursement,grant,6441480.0,6601381.0,2024,6441480.0,USD,current,2023,calendar,,,REPORTED,high,2026-06-03.1,DAC2A|9PRIV1601|201|2023,False,False,"https://sdmx.oecd.org/public/rest/data/OECD.DCD.FSD,DSD_DAC2@DF_DAC2A,/.NPL...?startPeriod=2015&endPeriod=2024&dimensionAtObservation=AllDimensions",2026-06-03T16:15:28Z,"measure 201 [instrument detail, not summed]"
65bd9b23eead062c,donor,oecd_dac2a,DAC2A|9PRIV1601|201|2015,Gates Foundation,9PRIV1601,,NPL,,,disbursement,grant,5311554.0,6845927.0,2024,5311554.0,USD,current,2015,calendar,,,REPORTED,high,2026-06-03.1,DAC2A|9PRIV1601|201|2015,False,False,"https://sdmx.oecd.org/public/rest/data/OECD.DCD.FSD,DSD_DAC2@DF_DAC2A,/.NPL...?startPeriod=2015&endPeriod=2024&dimensionAtObservation=AllDimensions",2026-06-03T16:15:28Z,"measure 201 [instrument detail, not summed]"
7e5e17c73a8c7b7d,donor,oecd_dac2a,DAC2A|9PRIV1601|201|2018,Gates Foundation,9PRIV1601,,NPL,,,disbursement,grant,2604420.0,3193512.0,2024,2604420.0,USD,current,2018,calendar,,,REPORTED,high,2026-06-03.1,DAC2A|9PRIV1601|201|2018,False,False,"https://sdmx.oecd.org/public/rest/data/OECD.DCD.FSD,DSD_DAC2@DF_DAC2A,/.NPL...?startPeriod=2015&endPeriod=2024&dimensionAtObservation=AllDimensions",2026-06-03T16:15:28Z,"measure 201 [instrument detail, not summed]"
2d0d0d3b3f6e6f62,donor,oecd_dac2a,DAC2A|9PRIV1601|201|2016,Gates Foundation,9PRIV1601,,NPL,,,disbursement,grant,2600765.0,3320504.0,2024,2600765.0,USD,current,2016,calendar,,,REPORTED,high,2026-06-03.1,DAC2A|9PRIV1601|201|2016,False,False,"https://sdmx.oecd.org/public/rest/data/OECD.DCD.FSD,DSD_DAC2@DF_DAC2A,/.NPL...?startPeriod=2015&endPeriod=2024&dimensionAtObservation=AllDimensions",2026-06-03T16:15:28Z,"measure 201 [instrument detail, not summed]"
