obs_id,side,source,source_record_id,donor_name,donor_dac_code,donor_iati_id,recipient,sector,sector_raw,flow_stage,instrument,amount_usd,amount_usd_constant,price_base_year,amount_original,currency_original,price_base,year,fiscal_basis,period_start,period_end,status,confidence,dataset_version,dedup_key,is_multilateral_outflow,counts_in_headline,source_url,retrieved_at,notes
bae9e2304fad7dd6,donor,us_fa,FA|3093,United States,USA,US-GOV,NPL,governance,Peace and Security / Counter-Terrorism,commitment,grant,826667.0,1059773.0,,826667.0,USD,current,2015,donor_fy,,,REPORTED,med,2026-06-04.1,FA|3093,False,False,https://foreignassistance.gov/cd/nepal,2026-06-04T11:30:41Z,ForeignAssistance.gov by-usg-sector; Obligations; USG sector Peace and Security/Counter-Terrorism; constant_amount is ForeignAssistance.gov constant US$
c63356221be2d331,donor,us_fa,FA|3094,United States,USA,US-GOV,NPL,governance,Peace and Security / Counter-Terrorism,commitment,grant,1009897.0,1284400.0,,1009897.0,USD,current,2016,donor_fy,,,REPORTED,med,2026-06-04.1,FA|3094,False,False,https://foreignassistance.gov/cd/nepal,2026-06-04T11:30:41Z,ForeignAssistance.gov by-usg-sector; Obligations; USG sector Peace and Security/Counter-Terrorism; constant_amount is ForeignAssistance.gov constant US$
0d59235e6ba66c97,donor,us_fa,FA|3095,United States,USA,US-GOV,NPL,governance,Peace and Security / Counter-Terrorism,commitment,grant,544283.0,680736.0,,544283.0,USD,current,2017,donor_fy,,,REPORTED,med,2026-06-04.1,FA|3095,False,False,https://foreignassistance.gov/cd/nepal,2026-06-04T11:30:41Z,ForeignAssistance.gov by-usg-sector; Obligations; USG sector Peace and Security/Counter-Terrorism; constant_amount is ForeignAssistance.gov constant US$
52edc3f45cd6f8a6,donor,us_fa,FA|3096,United States,USA,US-GOV,NPL,governance,Peace and Security / Counter-Terrorism,commitment,grant,-12402.0,-14902.0,,-12402.0,USD,current,2019,donor_fy,,,REPORTED,med,2026-06-04.1,FA|3096,False,False,https://foreignassistance.gov/cd/nepal,2026-06-04T11:30:41Z,ForeignAssistance.gov by-usg-sector; Obligations; USG sector Peace and Security/Counter-Terrorism; constant_amount is ForeignAssistance.gov constant US$
07c8b964a79b3870,donor,us_fa,FA|3097,United States,USA,US-GOV,NPL,governance,Peace and Security / Counter-Terrorism,commitment,grant,-140531.0,-166693.0,,-140531.0,USD,current,2020,donor_fy,,,REPORTED,med,2026-06-04.1,FA|3097,False,False,https://foreignassistance.gov/cd/nepal,2026-06-04T11:30:41Z,ForeignAssistance.gov by-usg-sector; Obligations; USG sector Peace and Security/Counter-Terrorism; constant_amount is ForeignAssistance.gov constant US$
522e22051d6f69a5,donor,us_fa,FA|3098,United States,USA,US-GOV,NPL,governance,Peace and Security / Counter-Terrorism,commitment,grant,-34412.0,-39468.0,,-34412.0,USD,current,2021,donor_fy,,,REPORTED,med,2026-06-04.1,FA|3098,False,False,https://foreignassistance.gov/cd/nepal,2026-06-04T11:30:41Z,ForeignAssistance.gov by-usg-sector; Obligations; USG sector Peace and Security/Counter-Terrorism; constant_amount is ForeignAssistance.gov constant US$
020f62b0f7468ead,donor,us_fa,FA|3099,United States,USA,US-GOV,NPL,governance,Peace and Security / Counter-Terrorism,commitment,grant,-262650.0,-269082.0,,-262650.0,USD,current,2023,donor_fy,,,REPORTED,med,2026-06-04.1,FA|3099,False,False,https://foreignassistance.gov/cd/nepal,2026-06-04T11:30:41Z,ForeignAssistance.gov by-usg-sector; Obligations; USG sector Peace and Security/Counter-Terrorism; constant_amount is ForeignAssistance.gov constant US$
c0375dd2b076a89a,donor,us_fa,FA|3109,United States,USA,US-GOV,NPL,governance,Peace and Security / Counter-Terrorism,disbursement,grant,718900.0,921615.0,,718900.0,USD,current,2015,donor_fy,,,REPORTED,med,2026-06-04.1,FA|3109,False,False,https://foreignassistance.gov/cd/nepal,2026-06-04T11:30:41Z,ForeignAssistance.gov by-usg-sector; Disbursements; USG sector Peace and Security/Counter-Terrorism; constant_amount is ForeignAssistance.gov constant US$
e5bec58f1d9d8015,donor,us_fa,FA|3110,United States,USA,US-GOV,NPL,governance,Peace and Security / Counter-Terrorism,disbursement,grant,749969.0,953820.0,,749969.0,USD,current,2016,donor_fy,,,REPORTED,med,2026-06-04.1,FA|3110,False,False,https://foreignassistance.gov/cd/nepal,2026-06-04T11:30:41Z,ForeignAssistance.gov by-usg-sector; Disbursements; USG sector Peace and Security/Counter-Terrorism; constant_amount is ForeignAssistance.gov constant US$
58ec5954167b1986,donor,us_fa,FA|3111,United States,USA,US-GOV,NPL,governance,Peace and Security / Counter-Terrorism,disbursement,grant,653969.0,817921.0,,653969.0,USD,current,2017,donor_fy,,,REPORTED,med,2026-06-04.1,FA|3111,False,False,https://foreignassistance.gov/cd/nepal,2026-06-04T11:30:41Z,ForeignAssistance.gov by-usg-sector; Disbursements; USG sector Peace and Security/Counter-Terrorism; constant_amount is ForeignAssistance.gov constant US$
