obs_id,side,source,source_record_id,donor_name,donor_dac_code,donor_iati_id,recipient,sector,sector_raw,flow_stage,instrument,amount_usd,amount_usd_constant,price_base_year,amount_original,currency_original,price_base,year,fiscal_basis,period_start,period_end,status,confidence,dataset_version,dedup_key,is_multilateral_outflow,counts_in_headline,source_url,retrieved_at,notes
45a451d9cae04fe6,donor,wb_projects,P517087,World Bank (IDA/IBRD),,44000,NPL,,Nepal Safer Schools Project,commitment,concessional_loan,75000000.0,,,75000000.0,USD,current,2027,calendar,,,REPORTED,high,2026-06-03.1,P517087,True,False,https://projects.worldbank.org/en/projects-operations/project-detail/P517087,2026-06-03T16:22:53Z,project: Nepal Safer Schools Project; amount_from=totalamt; lendprojectcost=75000000
c33e85fa17173863,donor,wb_projects,P512377,World Bank (IDA/IBRD),,44000,NPL,Industry,Greater Lumbini Area Development Project,commitment,concessional_loan,85000000.0,,,85000000.0,USD,current,2026,calendar,,,REPORTED,high,2026-06-03.1,P512377,True,False,https://projects.worldbank.org/en/projects-operations/project-detail/P512377,2026-06-03T16:22:53Z,project: Greater Lumbini Area Development Project; amount_from=totalamt; lendprojectcost=85000000
df356f6fa7a1b357,donor,wb_projects,P506527,World Bank (IDA/IBRD),,44000,NPL,Energy and Mineral Resources,Nepal Clean Air and Prosperity Project,commitment,grant,52000000.0,,,52000000.0,USD,current,2026,calendar,,,REPORTED,high,2026-06-03.1,P506527,True,False,https://projects.worldbank.org/en/projects-operations/project-detail/P506527,2026-06-03T16:22:53Z,project: Nepal Clean Air and Prosperity Project; amount_from=totalamt; lendprojectcost=68000000
4bf492a687a49c41,donor,wb_projects,P511767,World Bank (IDA/IBRD),,44000,NPL,Digital Development,Nepal Digital Transformation,commitment,concessional_loan,50000000.0,,,50000000.0,USD,current,2026,calendar,,,REPORTED,high,2026-06-03.1,P511767,True,False,https://projects.worldbank.org/en/projects-operations/project-detail/P511767,2026-06-03T16:22:53Z,project: Nepal Digital Transformation; amount_from=totalamt; lendprojectcost=90000000
3cb2ac593fbd2cf0,donor,wb_projects,P508961,World Bank (IDA/IBRD),,44000,NPL,Financial Sector,Sustainable and Inclusive Finance,commitment,concessional_loan,95000000.0,,,95000000.0,USD,current,2026,calendar,,,REPORTED,high,2026-06-03.1,P508961,True,False,https://projects.worldbank.org/en/projects-operations/project-detail/P508961,2026-06-03T16:22:53Z,project: Sustainable and Inclusive Finance; amount_from=totalamt
6a35b940251c28e9,donor,wb_projects,P505734,World Bank (IDA/IBRD),,44000,NPL,FY17 - Information and Communications Technologies,Digital Nepal Project,commitment,concessional_loan,56000000.0,,,56000000.0,USD,current,2025,calendar,,,REPORTED,high,2026-06-03.1,P505734,True,False,https://projects.worldbank.org/en/projects-operations/project-detail/P505734,2026-06-03T16:22:53Z,project: Digital Nepal Project; amount_from=totalamt
47990ead1851b754,donor,wb_projects,P505226,World Bank (IDA/IBRD),,44000,NPL,Public Administration,Public Financial Management for Development Effectiveness Project,commitment,grant,10000000.0,,,10000000.0,USD,current,2025,calendar,,,REPORTED,high,2026-06-03.1,P505226,True,False,https://projects.worldbank.org/en/projects-operations/project-detail/P505226,2026-06-03T16:22:53Z,project: Public Financial Management for Development Effectiveness Project; amount_from=grantamt
a9f6f790296d0288,donor,wb_projects,P505651,World Bank (IDA/IBRD),,44000,NPL,Social Sustainability and Inclusion,Nepal Enhancing Access to Benefits while Lowering Emissions,commitment,grant,3000000.0,,,3000000.0,USD,current,2025,calendar,,,REPORTED,high,2026-06-03.1,P505651,True,False,https://projects.worldbank.org/en/projects-operations/project-detail/P505651,2026-06-03T16:22:53Z,project: Nepal Enhancing Access to Benefits while Lowering Emissions; amount_from=grantamt
337a00e3c99dcf56,donor,wb_projects,P507433,World Bank (IDA/IBRD),,44000,NPL,Agriculture,Modernization of Rani Jamara Kulariya Irrigation Project - Phase 3,commitment,concessional_loan,137000000.0,,,137000000.0,USD,current,2025,calendar,,,REPORTED,high,2026-06-03.1,P507433,True,False,https://projects.worldbank.org/en/projects-operations/project-detail/P507433,2026-06-03T16:22:53Z,project: Modernization of Rani Jamara Kulariya Irrigation Project - Phase 3; amount_from=totalamt
5616d9e539e21640,donor,wb_projects,P501985,World Bank (IDA/IBRD),,44000,NPL,Energy and Mineral Resources,Electricity Supply Reliability Improvement Project,commitment,concessional_loan,120000000.0,,,120000000.0,USD,current,2025,calendar,,,REPORTED,high,2026-06-03.1,P501985,True,False,https://projects.worldbank.org/en/projects-operations/project-detail/P501985,2026-06-03T16:22:53Z,project: Electricity Supply Reliability Improvement Project; amount_from=totalamt
68a46ad22efe9e56,donor,wb_projects,P181687,World Bank (IDA/IBRD),,44000,NPL,Education,Additional Financing to the School Sector Transformation Program,commitment,grant,27666250.0,,,27666250.0,USD,current,2025,calendar,,,REPORTED,high,2026-06-03.1,P181687,True,False,https://projects.worldbank.org/en/projects-operations/project-detail/P181687,2026-06-03T16:22:53Z,project: Additional Financing to the School Sector Transformation Program; amount_from=grantamt; lendprojectcost=56368000
a337f7aba686f7e4,donor,wb_projects,P507516,World Bank (IDA/IBRD),,44000,NPL,Transportation,Third Bridges Improvement and Maintenance Program,commitment,concessional_loan,150000000.0,,,150000000.0,USD,current,2025,calendar,,,REPORTED,high,2026-06-03.1,P507516,True,False,https://projects.worldbank.org/en/projects-operations/project-detail/P507516,2026-06-03T16:22:53Z,project: Third Bridges Improvement and Maintenance Program; amount_from=totalamt
3eba9238432c56f5,donor,wb_projects,P507636,World Bank (IDA/IBRD),,44000,NPL,Transportation,Nepal Strategic Road Connectivity and Trade Improvement Project,commitment,concessional_loan,200000000.0,,,200000000.0,USD,current,2025,calendar,,,REPORTED,high,2026-06-03.1,P507636,True,False,https://projects.worldbank.org/en/projects-operations/project-detail/P507636,2026-06-03T16:22:53Z,project: Nepal Strategic Road Connectivity and Trade Improvement Project; amount_from=totalamt; lendprojectcost=801500030
5fd3c9a815c50209,donor,wb_projects,P178687,World Bank (IDA/IBRD),,44000,NPL,Agriculture,"NEPAL SECOND GREEN, RESILIENT, AND INCLUSIVE PROGRAMMATIC DEVELOPMENT POLICY CREDIT",commitment,concessional_loan,100000000.0,,,100000000.0,USD,current,2024,calendar,,,REPORTED,high,2026-06-03.1,P178687,True,False,https://projects.worldbank.org/en/projects-operations/project-detail/P178687,2026-06-03T16:22:53Z,"project: NEPAL SECOND GREEN, RESILIENT, AND INCLUSIVE PROGRAMMATIC DEVELOPMENT POLICY CREDIT; amount_from=totalamt; lendprojectcost=0"
