side,donor_name,year,flow_stage,amount_usd
donor,Adaptation Fund,2015,disbursement,2341906.0
donor,Adaptation Fund,2020,disbursement,2394909.0
donor,Adaptation Fund,2021,disbursement,2394909.0
donor,Adaptation Fund,2022,disbursement,2395436.0
donor,Arcadia,2018,disbursement,949515.0
donor,Asian Development Bank,2015,disbursement,84988800.0
donor,Asian Development Bank,2016,disbursement,129826927.0
donor,Asian Development Bank,2017,disbursement,199589684.0
donor,Asian Development Bank,2018,disbursement,160516000.0
donor,Asian Development Bank,2019,disbursement,215973829.0
donor,Asian Development Bank,2020,disbursement,417877962.0
donor,Asian Development Bank,2021,disbursement,173573343.0
donor,Asian Development Bank,2022,disbursement,155891787.0
donor,Asian Development Bank,2023,disbursement,360008423.0
donor,Asian Development Bank,2024,disbursement,191905598.0
donor,Asian Infrastructure Investment Bank [AIIB],2019,disbursement,621949.0
donor,Asian Infrastructure Investment Bank [AIIB],2020,disbursement,324333.0
donor,Australia,2015,disbursement,36309385.0
donor,Australia,2016,disbursement,16491399.999999998
donor,Australia,2017,disbursement,19324040.0
donor,Australia,2018,disbursement,13804836.0
donor,Australia,2019,disbursement,11776268.0
donor,Australia,2020,disbursement,10059488.0
donor,Australia,2021,disbursement,25572130.0
donor,Australia,2022,disbursement,19079614.0
donor,Australia,2023,disbursement,18359425.0
donor,Australia,2024,disbursement,22073090.0
donor,Austria,2015,disbursement,4502392.0
donor,Austria,2016,disbursement,1835550.0
donor,Austria,2017,disbursement,1843706.0
donor,Austria,2018,disbursement,1862659.0
donor,Austria,2019,disbursement,2071827.0
donor,Austria,2020,disbursement,1123401.0
donor,Austria,2021,disbursement,2299431.0
donor,Austria,2022,disbursement,1110227.0
donor,Austria,2023,disbursement,4298674.0
donor,Austria,2024,disbursement,2727271.0
donor,Azerbaijan,2015,disbursement,72840.0
donor,Azerbaijan,2020,disbursement,350000.0
donor,Belgium,2015,disbursement,980233.0
donor,Belgium,2016,disbursement,318381.0
donor,Belgium,2017,disbursement,525147.0
donor,Belgium,2018,disbursement,906075.0
donor,Belgium,2019,disbursement,293863.0
donor,Belgium,2020,disbursement,94641.0
donor,Belgium,2021,disbursement,191099.0
donor,Belgium,2022,disbursement,251303.0
donor,Belgium,2023,disbursement,339536.0
donor,Belgium,2024,disbursement,477606.0
donor,Bloomberg Family Foundation,2022,disbursement,446949.0
donor,Bulgaria,2015,disbursement,40000.0
donor,COVID-19 Response and Recovery Multi-Partner Trust Fund [UN COVID-19 MPTF],2021,disbursement,-23870.0
donor,Canada,2015,disbursement,29087843.0
donor,Canada,2016,disbursement,12405795.0
donor,Canada,2017,disbursement,12677103.0
donor,Canada,2018,disbursement,8470074.0
donor,Canada,2019,disbursement,6816081.0
donor,Canada,2020,disbursement,4074575.000000001
donor,Canada,2021,disbursement,7891667.0
donor,Canada,2022,disbursement,2770485.0
donor,Canada,2023,disbursement,2453735.0
donor,Canada,2024,disbursement,3154292.0
donor,Central Emergency Response Fund [CERF],2017,disbursement,4787881.0
donor,Central Emergency Response Fund [CERF],2021,disbursement,3202000.0
donor,Central Emergency Response Fund [CERF],2022,disbursement,3186000.0
donor,Central Emergency Response Fund [CERF],2024,disbursement,3407000.0
donor,Charity Projects Ltd (Comic Relief),2015,disbursement,626432.0
donor,Charity Projects Ltd (Comic Relief),2016,disbursement,220789.0
donor,Charity Projects Ltd (Comic Relief),2017,disbursement,221096.0
donor,Charity Projects Ltd (Comic Relief),2018,disbursement,906297.0
donor,Charity Projects Ltd (Comic Relief),2019,disbursement,822388.0
donor,Charity Projects Ltd (Comic Relief),2020,disbursement,245821.0
donor,Charity Projects Ltd (Comic Relief),2021,disbursement,162259.0
donor,Children's Investment Fund Foundation,2018,disbursement,132710.0
donor,Citi Foundation,2021,disbursement,80000.0
donor,Climate Investment Funds [CIF],2015,disbursement,939790.0
donor,Climate Investment Funds [CIF],2017,disbursement,9705700.0
donor,Climate Investment Funds [CIF],2018,disbursement,12939938.0
donor,Climate Investment Funds [CIF],2019,disbursement,8163002.000000001
donor,Climate Investment Funds [CIF],2020,disbursement,30733999.0
donor,Climate Investment Funds [CIF],2021,disbursement,1213032.0
donor,Climate Investment Funds [CIF],2022,disbursement,2404976.0
donor,Climate Investment Funds [CIF],2023,disbursement,4093000.0
donor,Climate Investment Funds [CIF],2024,disbursement,4733939.0
donor,Conrad N. Hilton Foundation,2015,disbursement,500000.0
donor,Conrad N. Hilton Foundation,2023,disbursement,214000.0
donor,Czechia,2015,disbursement,835492.0
donor,Czechia,2016,disbursement,332811.0
donor,Czechia,2017,disbursement,194777.0
donor,Czechia,2018,disbursement,19386.0
donor,Czechia,2019,disbursement,34027.0
donor,Czechia,2022,disbursement,190239.0
donor,David and Lucile Packard Foundation,2017,disbursement,862500.0
donor,David and Lucile Packard Foundation,2018,disbursement,250000.0
donor,David and Lucile Packard Foundation,2019,disbursement,666667.0
donor,David and Lucile Packard Foundation,2020,disbursement,31250.0
donor,David and Lucile Packard Foundation,2021,disbursement,57583.0
donor,David and Lucile Packard Foundation,2022,disbursement,684500.0
donor,David and Lucile Packard Foundation,2023,disbursement,439000.0
donor,David and Lucile Packard Foundation,2024,disbursement,672000.0
donor,Denmark,2015,disbursement,21477585.0
donor,Denmark,2016,disbursement,12886317.0
donor,Denmark,2017,disbursement,19113671.0
donor,Denmark,2018,disbursement,16285955.000000002
donor,Denmark,2019,disbursement,-9988369.0
donor,Denmark,2020,disbursement,3179268.0
donor,Denmark,2021,disbursement,3212454.0
donor,Denmark,2022,disbursement,3438411.0
donor,Denmark,2023,disbursement,2604060.0
donor,Denmark,2024,disbursement,1809182.0
donor,Dutch Postcode Lottery,2019,disbursement,559722.0
