fiscal_year,usg_category_name,usg_sector_name,activity_id,activity_name,activity_project_number,activity_description,channel_name,channel_category_name,funding_agency_acronym,funding_account_name,implementing_agency_acronym,dac_purpose_name,activity_end_date,current_amount,constant_amount,source,source_url,retrieved_at
2015,"Democracy, Human Rights, and Governance",Civil Society,66970,National Endowment for Democracy Grant - Democratic Ideas and Values,,"National Endowment for Democracy Grant - Democratic Ideas and Values. The National Endowment for Democracy (NED) is a private, nonprofit foundation dedicated to the growth and strengthening of democratic institutions around the world. Each year, NED makes more than 2,000 grants to support the projects of non-governmental groups abroad who are working for democratic goals in more than 100 countries",National Endowment for Democracy,NGO,STATE,"Department of State, National Endowment for Democracy",STATE,Democratic participation and civil society,,170748.0,218896.0,us_fa_activities,https://foreignassistance.gov/data,2026-07-21T00:43:30Z
2015,"Democracy, Human Rights, and Governance",Civil Society,66888,National Endowment for Democracy Grant - Accountability,,"National Endowment for Democracy Grant - Accountability. The National Endowment for Democracy (NED) is a private, nonprofit foundation dedicated to the growth and strengthening of democratic institutions around the world. Each year, NED makes more than 2,000 grants to support the projects of non-governmental groups abroad who are working for democratic goals in more than 100 countries.",National Endowment for Democracy,NGO,STATE,"Department of State, National Endowment for Democracy",STATE,Democratic participation and civil society,,70000.0,89739.0,us_fa_activities,https://foreignassistance.gov/data,2026-07-21T00:43:30Z
2015,"Democracy, Human Rights, and Governance",Civil Society,66933,National Endowment for Democracy Grant - Civic Education,,"National Endowment for Democracy Grant - Civic Education. The National Endowment for Democracy (NED) is a private, nonprofit foundation dedicated to the growth and strengthening of democratic institutions around the world. Each year, NED makes more than 2,000 grants to support the projects of non-governmental groups abroad who are working for democratic goals in more than 100 countries.",National Endowment for Democracy,NGO,STATE,"Department of State, National Endowment for Democracy",STATE,Democratic participation and civil society,,25000.0,32050.0,us_fa_activities,https://foreignassistance.gov/data,2026-07-21T00:43:30Z
2015,"Democracy, Human Rights, and Governance",Good Governance,198507,Sajhedari (Partnership for Local Development),AID-367-C-13-00003,"Sajhedari is a five-year project implemented in six focus districts, as per USAID's country strategy, and expanded to six earthquake affected districts in 2015. The project's four components work to: mitigate conflict, improve community access to resources, strengthen inclusive local planning, and build technical and organizational capacity of local government bodies.",Pact World,NGO,USAID,Economic Support Fund,USAID,Decentralisation and support to subnational government,2018-05-31,1307963.0,1676782.0,us_fa_activities,https://foreignassistance.gov/data,2026-07-21T00:43:30Z
2015,"Democracy, Human Rights, and Governance",Good Governance,200803,Singha Durbar,AID-367-A-14-00001,The goal of the project is to promote leadership and good governance through media in Nepal. Singha Durbar seeks to mitigate public disillusionment and dissatisfaction towards the Government and political process using multi-media communications and story-telling approaches. Specific project goals include:-- To increase public knowledge of government functions at the local and national levels and ,Search for Common Ground,NGO,USAID,Economic Support Fund,USAID,Decentralisation and support to subnational government,2018-10-01,489630.0,627696.0,us_fa_activities,https://foreignassistance.gov/data,2026-07-21T00:43:30Z
2015,"Democracy, Human Rights, and Governance",Good Governance,192966,"Strengthen Political Parties, Electoral and Legislative Processes program (SPPELP)",AID-367-LA-10-00001,"Associate Cooperative Agreement to implement Strengthen Political Parties, Electroal and Legislative Processes Program (SPELP).",Consortium for Elections and Political Process Strengthening,NGO,USAID,Economic Support Fund,USAID,Legislatures and political parties,2017-06-30,285654.0,366203.0,us_fa_activities,https://foreignassistance.gov/data,2026-07-21T00:43:30Z
2015,"Democracy, Human Rights, and Governance",Good Governance,200994,USAID Advisory and Assistance Services,redacted ID,Administrative costs and operating expenses of USAID contributing to Advisory and Assistance Services.,Enterprise - Non United States Redacted,Enterprises,USAID,"Agency for International Development, Development Assistance",USAID,Security system management and reform,,14124.0,18106.0,us_fa_activities,https://foreignassistance.gov/data,2026-07-21T00:43:30Z
2015,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,192966,"Strengthen Political Parties, Electoral and Legislative Processes program (SPPELP)",AID-367-LA-10-00001,"Associate Cooperative Agreement to implement Strengthen Political Parties, Electroal and Legislative Processes Program (SPELP).",Consortium for Elections and Political Process Strengthening,NGO,USAID,Economic Support Fund,USAID,Elections,2017-06-30,4313064.0,5529263.0,us_fa_activities,https://foreignassistance.gov/data,2026-07-21T00:43:30Z
2015,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,67352,National Endowment for Democracy Grant - Political Processes,,"National Endowment for Democracy Grant - Political Processes. The National Endowment for Democracy (NED) is a private, nonprofit foundation dedicated to the growth and strengthening of democratic institutions around the world. Each year, NED makes more than 2,000 grants to support the projects of non-governmental groups abroad who are working for democratic goals in more than 100 countries.",National Endowment for Democracy,NGO,STATE,"Department of State, National Endowment for Democracy",STATE,Legislatures and political parties,,25000.0,32050.0,us_fa_activities,https://foreignassistance.gov/data,2026-07-21T00:43:30Z
2015,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,189846,Monitoring Nepals Peace and Constitution Drafting Process,AID-367-A-09-00002,"Monitor Nepal Peace & Constitun Dft, Carter Center",Carter Center,NGO,USAID,"Agency for International Development, Development Assistance",USAID,Public sector policy and administrative management,2014-06-30,-7842.0,-10053.0,us_fa_activities,https://foreignassistance.gov/data,2026-07-21T00:43:30Z
