funding_agency,funding_account,year,flow_stage,amount_usd,amount_usd_constant,source,source_url,retrieved_at
AGR,Commodity Credit Corporation Fund,2001,commitment,3627083.0,6099757.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-11T22:08:20Z
AGR,Commodity Credit Corporation Fund,2023,commitment,33100000.0,33910690.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-11T22:08:20Z
AGR,Commodity Credit Corporation Fund,2024,disbursement,14801257.0,14801257.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-11T22:08:20Z
AGR,Commodity Credit Corporation Fund,2025,commitment,9115000.0,8900789.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-11T22:08:20Z
AGR,Commodity Credit Corporation Fund,2025,disbursement,10487813.0,10241339.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-11T22:08:20Z
AGR,"Foreign Agricultural Service, Salaries and Expenses",2004,commitment,71270.0,113018.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-11T22:08:20Z
AGR,"Foreign Agricultural Service, Salaries and Expenses",2004,disbursement,71270.0,113018.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-11T22:08:20Z
AGR,"Foreign Agricultural Service, Salaries and Expenses",2022,commitment,50000.0,53559.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-11T22:08:20Z
AGR,"Foreign Agricultural Service, Salaries and Expenses",2023,commitment,50000.0,51225.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-11T22:08:20Z
AGR,"Foreign Agricultural Service, Salaries and Expenses",2023,disbursement,26168.0,26809.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-11T22:08:20Z
AGR,"Foreign Agricultural Service, Salaries and Expenses",2024,commitment,50000.0,50000.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-11T22:08:20Z
AGR,"Foreign Agricultural Service, Salaries and Expenses",2024,disbursement,24006.0,24006.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-11T22:08:20Z
AGR,"Foreign Agricultural Service, Salaries and Expenses",2025,disbursement,20593.0,20109.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-11T22:08:20Z
