implementing_agency_acronym,implementing_agency_name,year,flow_stage,amount_usd,amount_usd_constant,source,source_url,retrieved_at
AGR,Department of Agriculture,2001,commitment,3627083.0,6099757.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-12T00:06:56Z
AGR,Department of Agriculture,2003,commitment,2833165.0,4602466.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-12T00:06:56Z
AGR,Department of Agriculture,2003,disbursement,2833165.0,4602466.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-12T00:06:56Z
AGR,Department of Agriculture,2004,commitment,71270.0,113018.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-12T00:06:56Z
AGR,Department of Agriculture,2004,disbursement,71270.0,113018.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-12T00:06:56Z
AGR,Department of Agriculture,2005,commitment,11948496.0,18388067.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-12T00:06:56Z
AGR,Department of Agriculture,2005,disbursement,11948496.0,18388067.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-12T00:06:56Z
AGR,Department of Agriculture,2006,commitment,4637734.0,6912662.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-12T00:06:56Z
AGR,Department of Agriculture,2006,disbursement,4637734.0,6912662.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-12T00:06:56Z
AGR,Department of Agriculture,2012,commitment,3307431.0,4441276.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-12T00:06:56Z
AGR,Department of Agriculture,2012,disbursement,3307431.0,4441276.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-12T00:06:56Z
AGR,Department of Agriculture,2013,commitment,6000000.0,7913319.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-12T00:06:56Z
AGR,Department of Agriculture,2013,disbursement,5949525.0,7846748.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-12T00:06:56Z
AGR,Department of Agriculture,2014,disbursement,5016985.0,6498284.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-12T00:06:56Z
