usg_category,usg_sector,year,flow_stage,amount_usd,amount_usd_constant,source,source_url,retrieved_at
"Democracy, Human Rights, and Governance",Civil Society,2001,commitment,-95.0,-160.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Civil Society,2001,disbursement,2911230.0,4895894.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Civil Society,2002,commitment,-9820.0,-16260.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Civil Society,2002,disbursement,1204897.0,1994921.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Civil Society,2003,commitment,-3120.0,-5069.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Civil Society,2003,disbursement,682321.0,1108427.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Civil Society,2004,commitment,-59438.0,-94255.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Civil Society,2004,disbursement,7207.0,11428.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Civil Society,2005,commitment,25000.0,38474.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Civil Society,2005,disbursement,25000.0,38474.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Civil Society,2006,commitment,135000.0,201221.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Civil Society,2006,disbursement,135000.0,201221.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Civil Society,2007,commitment,1159289.0,1681656.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Civil Society,2007,disbursement,638828.0,926679.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
