recipient,amount_usd_millions,basis,source_url,retrieved_at
United Nations World Food Programme,124.4,"obligations, place of performance NPL, FY2015-FY2026",https://api.usaspending.gov/api/v2/search/spending_by_category/recipient,2026-06-11T21:50:29Z
Helen Keller International,114.4,"obligations, place of performance NPL, FY2015-FY2026",https://api.usaspending.gov/api/v2/search/spending_by_category/recipient,2026-06-11T21:50:29Z
Winrock International Institute For Agricultural Development,98.0,"obligations, place of performance NPL, FY2015-FY2026",https://api.usaspending.gov/api/v2/search/spending_by_category/recipient,2026-06-11T21:50:29Z
DAI Global LLC,95.5,"obligations, place of performance NPL, FY2015-FY2026",https://api.usaspending.gov/api/v2/search/spending_by_category/recipient,2026-06-11T21:50:29Z
Research Triangle Institute,71.0,"obligations, place of performance NPL, FY2015-FY2026",https://api.usaspending.gov/api/v2/search/spending_by_category/recipient,2026-06-11T21:50:29Z
Deloitte Consulting LLP,62.2,"obligations, place of performance NPL, FY2015-FY2026",https://api.usaspending.gov/api/v2/search/spending_by_category/recipient,2026-06-11T21:50:29Z
"Save The Children Federation, INC.",43.2,"obligations, place of performance NPL, FY2015-FY2026",https://api.usaspending.gov/api/v2/search/spending_by_category/recipient,2026-06-11T21:50:29Z
Mercy Corps,40.9,"obligations, place of performance NPL, FY2015-FY2026",https://api.usaspending.gov/api/v2/search/spending_by_category/recipient,2026-06-11T21:50:29Z
Consortium For Elections & Political Process Strengthening,39.0,"obligations, place of performance NPL, FY2015-FY2026",https://api.usaspending.gov/api/v2/search/spending_by_category/recipient,2026-06-11T21:50:29Z
Abt Global LLC,35.2,"obligations, place of performance NPL, FY2015-FY2026",https://api.usaspending.gov/api/v2/search/spending_by_category/recipient,2026-06-11T21:50:29Z
"PACT, INC.",35.2,"obligations, place of performance NPL, FY2015-FY2026",https://api.usaspending.gov/api/v2/search/spending_by_category/recipient,2026-06-11T21:50:29Z
"World Wildlife Fund, INC.",32.3,"obligations, place of performance NPL, FY2015-FY2026",https://api.usaspending.gov/api/v2/search/spending_by_category/recipient,2026-06-11T21:50:29Z
Family Health International,29.6,"obligations, place of performance NPL, FY2015-FY2026",https://api.usaspending.gov/api/v2/search/spending_by_category/recipient,2026-06-11T21:50:29Z
Himalayan Builders And Engineers Pvt. Ltd,24.8,"obligations, place of performance NPL, FY2015-FY2026",https://api.usaspending.gov/api/v2/search/spending_by_category/recipient,2026-06-11T21:50:29Z
